date_week	age	count
2019_01	all	200
2019_02	all	368
2019_03	all	337
2019_04	all	359
2019_05	all	380
2019_06	all	395
2019_07	all	394
2019_08	all	387
2019_09	all	360
2019_10	all	390
2019_11	all	411
2019_12	all	407
2019_13	all	383
2019_14	all	381
2019_15	all	371
2019_16	all	388
2019_17	all	296
2019_18	all	330
2019_19	all	369
2019_20	all	365
2019_21	all	357
2019_22	all	304
2019_23	all	362
2019_24	all	270
2019_25	all	316
2019_26	all	353
2019_27	all	335
2019_28	all	360
2019_29	all	315
2019_30	all	310
2019_31	all	318
2019_32	all	335
2019_33	all	322
2019_34	all	338
2019_35	all	322
2019_36	all	326
2019_37	all	304
2019_38	all	295
2019_39	all	332
2019_40	all	296
2019_41	all	347
2019_42	all	359
2019_43	all	359
2019_44	all	319
2019_45	all	330
2019_46	all	386
2019_47	all	338
2019_48	all	332
2019_49	all	358
2019_50	all	360
2019_51	all	461
2019_52	all	280
2019_53	all	101
2020_01	all	159
2020_02	all	388
2020_03	all	317
2020_04	all	366
2020_05	all	338
2020_06	all	389
2020_07	all	376
2020_08	all	356
2020_09	all	393
2020_10	all	395
2020_11	all	386
2020_12	all	361
2020_13	all	231
2020_14	all	267
2020_15	all	252
2020_16	all	208
2020_17	all	251
2020_18	all	254
2020_19	all	267
2020_20	all	297
2020_21	all	273
2020_22	all	304
2020_23	all	244
2020_24	all	283
2020_25	all	286
2020_26	all	297
2020_27	all	266
2020_28	all	306
2020_29	all	287
2020_30	all	306
2020_31	all	310
2020_32	all	283
2020_33	all	241
2020_34	all	266
2020_35	all	314
2020_36	all	278
2020_37	all	262
2020_38	all	309
2020_39	all	329
2020_40	all	302
2020_41	all	312
2020_42	all	313
2020_43	all	299
2020_44	all	293
2020_45	all	304
2020_46	all	309
2020_47	all	274
2020_48	all	311
2020_49	all	291
2020_50	all	338
2020_51	all	343
2020_52	all	290
2020_53	all	186
2021_01	all	8
2021_02	all	307
2021_03	all	283
2021_04	all	328
2021_05	all	325
2021_06	all	317
2021_07	all	322
2021_08	all	346
2021_09	all	325
2021_10	all	377
2021_11	all	365
2021_12	all	319
2021_13	all	328
2021_14	all	308
2021_15	all	252
2021_16	all	314
2021_17	all	332
2021_18	all	333
2021_19	all	329
2021_20	all	317
2021_21	all	347
2021_22	all	292
2021_23	all	355
2021_24	all	369
2021_25	all	390
2021_26	all	373
2021_27	all	428
2021_28	all	405
2021_29	all	414
2021_30	all	421
2021_31	all	471
2021_32	all	409
2021_33	all	401
2021_34	all	414
2021_35	all	401
2021_36	all	394
2021_37	all	402
2021_38	all	348
2021_39	all	370
2021_40	all	371
2021_41	all	369
2021_42	all	353
2021_43	all	368
2021_44	all	384
2021_45	all	320
2021_46	all	384
2021_47	all	349
2021_48	all	356
2021_49	all	369
2021_50	all	389
2021_51	all	422
2021_52	all	435
2021_53	all	270
2022_01	all	9
2022_02	all	379
2022_03	all	439
2022_04	all	446
2022_05	all	405
2022_06	all	407
2022_07	all	414
2022_08	all	406
2022_09	all	422
2022_10	all	370
2022_11	all	395
2022_12	all	377
2022_13	all	368
2022_14	all	357
2022_15	all	360
2022_16	all	421
2022_17	all	260
2022_18	all	358
2022_19	all	345
2022_20	all	346
2022_21	all	349
2022_22	all	244
2022_23	all	61
